song_key,title,artist,duration,current_bitrate,file_name,priority
平安奇妙物语（《阴阳师》半年庆宣传曲）|千月兔/泠鸢yousa/kbshinya/祈inory/佑可猫/玄觞/云之泣/奇然/mario|257,平安奇妙物语（《阴阳师》半年庆宣传曲）,千月兔/泠鸢yousa/KBShinya/祈Inory/佑可猫/玄觞/云之泣/奇然/Mario,256.6,320000,千月兔、泠鸢yousa、KBShinya、祈Inory、佑可猫、玄觞、云の泣、奇然、Mario - 平安奇妙物语（《阴阳师》半年庆宣传曲）.mp3,🔴 高优先级
幹物女(weiwei)|封茗囧菌|218,幹物女(WeiWei),封茗囧菌,218.31,320000,封茗囧菌 - 幹物女(WeiWei).mp3,🔴 高优先级
情歌王 (live)|古巨基|249,情歌王 (Live),古巨基,248.56,128000,古巨基 - 情歌王 (Live).mp3,🔴 高优先级
故梦|橙翼|289,故梦,橙翼,288.68,128000,橙翼 - 故梦.mp3,🔴 高优先级
无归|叶里|282,无归,叶里,282.41,320000,叶里 - 无归.mp3,🔴 高优先级
无心|小缘|268,无心,小缘,268.12,320000,小缘 - 无心.mp3,🔴 高优先级
昔时|hita/蔡翊昇|190,昔时,HITA/蔡翊昇,189.86,320000,HITA、蔡翊昇 - 昔时.mp3,🔴 高优先级
楚地无歌|ace组合|260,楚地无歌,Ace组合,260.41,320000,Ace组合 - 楚地无歌.mp3,🔴 高优先级
江南调|winky诗|235,江南调,Winky诗,234.63,320000,Winky诗 - 江南调.mp3,🔴 高优先级
浮生未歇|音频怪物|296,浮生未歇,音频怪物,295.99,128000,音频怪物 - 浮生未歇.mp3,🔴 高优先级
清欢怅|winky诗|181,清欢怅,Winky诗,181.0,320000,Winky诗 - 清欢怅.mp3,🔴 高优先级
爱我吧|方大同|287,爱我吧,方大同,287.06,320000,方大同-爱我吧.mp3,🔴 高优先级
爱爱爱(live)|方大同|221,爱爱爱(Live),方大同,221.07,128000,方大同-爱爱爱(Live).mp3,🔴 高优先级
白石溪（cover 洛天依 / 乐正绫）|双笙（陈元汐）/冥月|332,白石溪（Cover 洛天依 / 乐正绫）,双笙（陈元汐）/冥月,331.86,320000,双笙（陈元汐）、冥月 - 白石溪（Cover 洛天依  乐正绫）.mp3,🔴 高优先级
眉间雪|hita|265,眉间雪,HITA,264.52,320000,HITA - 眉间雪.mp3,🔴 高优先级
石楠小札|蔡翊昇|253,石楠小札,蔡翊昇,252.58,128000,蔡翊昇 - 石楠小札.mp3,🔴 高优先级
离去之原|茶理理|273,离去之原,茶理理,273.45,320000,茶理理 - 离去之原.mp3,🔴 高优先级
离骚|winky诗|261,离骚,Winky诗,261.04,320000,Winky诗 - 离骚.mp3,🔴 高优先级
笛月|封茗囧菌|217,笛月,封茗囧菌,216.92,320000,封茗囧菌 - 笛月.mp3,🔴 高优先级
菁华浮梦|winky诗|279,菁华浮梦,Winky诗,278.54,128000,Winky诗 - 菁华浮梦.mp3,🔴 高优先级
落霞云归|慕寒|270,落霞云归,慕寒,270.29,320000,慕寒 - 落霞云归.mp3,🔴 高优先级
行香子|双笙（陈元汐）|173,行香子,双笙（陈元汐）,173.14,128000,双笙（陈元汐） - 行香子.mp3,🔴 高优先级
谓风|流仙/双笙（陈元汐）|264,谓风,流仙/双笙（陈元汐）,264.36,320000,流仙、双笙（陈元汐） - 谓风.mp3,🔴 高优先级
谢友人|寄明|204,谢友人,寄明,203.89,320000,寄明 - 谢友人.mp3,🔴 高优先级
逍遥叹|董真|269,逍遥叹,董真,268.67,320000,董真 - 逍遥叹.mp3,🔴 高优先级
遇萤|critty|240,遇萤,CRITTY,240.09,320000,CRITTY - 遇萤.mp3,🔴 高优先级
醉梦仙霖|董真|288,醉梦仙霖,董真,288.08,128000,董真 - 醉梦仙霖.mp3,🔴 高优先级
长安忆|音频怪物|281,长安忆,音频怪物,281.1,128000,音频怪物 - 长安忆.mp3,🔴 高优先级
霜雪千年|双笙（陈元汐）/封茗囧菌|247,霜雪千年,双笙（陈元汐）/封茗囧菌,246.94,320000,双笙（陈元汐）、封茗囧菌 - 霜雪千年.mp3,🔴 高优先级
青丝|时光胶囊|293,青丝,时光胶囊,292.62,320000,时光胶囊 - 青丝.mp3,🔴 高优先级
非李·浮华月|少年霜/提糯tino|237,非李·浮华月,少年霜/提糯Tino,236.8,320000,少年霜、提糯Tino - 非李·浮华月.mp3,🔴 高优先级
鸿鹄志|aki阿杰/橙翼/想想/伦桑|233,鸿鹄志,Aki阿杰/橙翼/想想/伦桑,232.72,320000,Aki阿杰、橙翼、想想、伦桑 - 鸿鹄志.mp3,🔴 高优先级
鹿の远音|山口五郎、青木鈴慕|744,鹿の远音,山口五郎、青木鈴慕,744.25,320000,山口五郎、青木鈴慕 - 鹿の远音.mp3,🔴 高优先级
